Timestamp of Report (GMT),Timestamp of Report (Local Time),Latitude,Longitude,Weather,Number of Photos Added,Ambient Audio (dB),Number of Steps,How many teas did you have today?,Are you working?,What are you doing?,Where are you?,Who are you with?,What did you learn today?,Did you think about God?,What are objects that are surrounding you now,What is your mood,What music have you been listening to
2014-02-09T23:02:15Z,"February 9, 2014 03:02:15pm",32.76313410233359,-117.1672229781533,Partly Cloudy,0,-61.24057,0,,"No","Getting settled at the conference hotel before dinner",Town and Country Resort and Convention Center,"Grace Neslen",,,,,
2014-02-09T23:57:11Z,"February 9, 2014 03:57:11pm",32.76334258265119,-117.1663994529444,Partly Cloudy,0,-58.78166,4307,,"No","resting",Town and Country Resort and Convention Center,,,,,,
2014-02-10T05:07:50Z,"February 9, 2014 09:07:50pm",32.76347354988825,-117.1664183960456,Mostly Cloudy,7,-58.84278,3848,,"No","resting,eating",,,,,,,
2014-02-10T16:00:55Z,"February 10, 2014 08:00:55am",32.76313865094703,-117.166287219261,Clear,0,-41.40139,144,,,,,,,,,,
2014-02-10T16:01:16Z,"February 10, 2014 08:01:16am",32.7630949812315,-117.1664052364576,Clear,0,-42.94599,0,,"Yes","training",Town and Country Resort and Convention Center,,,,,,
2014-02-10T19:15:09Z,"February 10, 2014 11:15:09am",32.76384506352851,-117.1711251093278,Mostly Cloudy,3,-37.07738,1735,,"Yes","training",Town and Country Resort and Convention Center,,,,,,
2014-02-10T22:54:17Z,"February 10, 2014 02:54:17pm",32.76215591999998,-117.1723911,Mostly Cloudy,2,-47.75337,2313,0,"Yes","training",Town and Country Resort and Convention Center,,"JavaScript workflow",,,,
2014-02-11T02:53:49Z,"February 10, 2014 06:53:49pm",32.72845617964187,-117.1295314842063,Mostly Cloudy,16,-22.81854,2146,0,"No","eating",Brabant Bar & Cafe,"Grace Neslen","JavaScript workflow",,,,
2014-02-11T16:33:22Z,"February 11, 2014 08:33:22am",32.76345171503048,-117.1664800030339,Scattered Clouds,1,-57.13812,5015,0,,,,,"JavaScript workflow",,,,
2014-02-12T00:07:02Z,"February 11, 2014 04:07:02pm",32.76009969587643,-117.1759521305848,Clear,13,-37.7247,2787,0,"Yes","designing",,,"JavaScript workflow",,,,
2014-02-12T04:17:02Z,"February 11, 2014 08:17:02pm",32.76314761958342,-117.1673224681217,Clear,30,-49.9381,5912,0,"No","walking",Town and Country Resort and Convention Center,,"JavaScript workflow",,,,
2014-02-12T15:03:02Z,"February 12, 2014 07:03:02am",32.76291053745221,-117.1667006147254,Clear,0,-40.19262,771,,,,,,,,,,
2014-02-12T15:03:14Z,"February 12, 2014 07:03:14am",32.76292202065956,-117.1666615550566,Clear,0,-41.77176,0,,"No","checking out",Town and Country Resort and Convention Center,"Grace Neslen",,,,,
2014-02-12T19:36:31Z,"February 12, 2014 11:36:31am",32.7330585150353,-117.2011696827758,Scattered Clouds,1,-28.22539,2047,,"No","waiting for flight",Town and Country Resort and Convention Center,,"how to look at decision trees as enabling more innovative experiences",,,,
2014-02-12T23:10:17Z,"February 12, 2014 03:10:17pm",37.61560051239805,-122.3942877632774,Mostly Cloudy,9,-31.39097,1019,,"No","BARTing",,,"encapsulating your brand in mundane packaging and serviceware",,,,
2014-02-13T06:29:47Z,"February 12, 2014 10:29:47pm",37.39242244980986,-121.9921548106912,Clear,5,-48.39416,1112,,"Yes","emailing",The Arches Apartments,,"valuing family needs to be higher priority",,,,
2014-02-13T16:30:39Z,"February 13, 2014 08:30:39am",37.39458772693995,-121.9926466476683,Fog,0,-57.28431,0,,"No","getting ready",The Arches Apartments,,,,,,
2014-02-13T20:42:18Z,"February 13, 2014 12:42:18pm",37.57571145429981,-122.0153403283302,Scattered Clouds,2,-58.4305,5232,,"No","getting ready",parents house,"Roy Tsung,Bles Tsung,Kristine Tsung,Dexter Flores","supporting my family",,,,
2014-02-13T23:42:14Z,"February 13, 2014 03:42:14pm",37.57567956115825,-122.0154373907689,Scattered Clouds,1,-48.83959,300,,"No","getting ready",parents house,"Roy Tsung,Bles Tsung,Kristine Tsung,Dexter Flores","shared vs isolated emotions. more intense when isolated, empathetic superficial closure.",,,,
2014-02-14T04:36:45Z,"February 13, 2014 08:36:45pm",37.58109188176466,-122.0238963236306,Clear,1,-19.2219,467,,"No","reflecting",,"Roy Tsung,Bles Tsung,Kristine Tsung,Dexter Flores","give everything you have, do it with love, enjoy life",,,,
2014-02-14T16:02:01Z,"February 14, 2014 08:02:01am",37.57579435132218,-122.01522608299,Overcast,2,-53.80804,488,,"No","reflecting",parents house,"Roy Tsung,Bles Tsung,Kristine Tsung,Dexter Flores",,,,,
2014-02-14T21:13:44Z,"February 14, 2014 01:13:44pm",37.58992946710213,-122.0205249545369,Overcast,2,-24.78115,1171,,"No","reflecting",,"Roy Tsung,Bles Tsung,Kristine Tsung,Dexter Flores",,,,,
2014-02-15T02:58:01Z,"February 14, 2014 06:58:01pm",37.55662632178287,-122.0196059626732,Mostly Cloudy,1,-53.20154,954,,"Yes","coding for fun",Bernadette's house,"Bernadette Valdellon","Using yo generators",,,,
2014-02-15T07:39:51Z,"February 14, 2014 11:39:51pm",37.57568890698028,-122.0152669028584,Mostly Cloudy,0,-34.86931,386,,"Yes",,parents house,,"npm global config craziness",,,,
2014-02-15T21:42:18Z,"February 15, 2014 01:42:18pm",37.5754757671413,-122.0147993610065,Overcast,2,-55.53841,464,,"No","coding for fun",parents house,,"raw data viz tool",,,,
2014-02-16T00:55:43Z,"February 15, 2014 04:55:43pm",37.57574799939764,-122.0152834990267,Overcast,0,-47.54333,6048,,"No","resting",parents house,,,,,,
2014-02-16T06:05:07Z,"February 15, 2014 10:05:07pm",37.5757312355913,-122.0152676572297,Mostly Cloudy,5,-53.34086,1479,,"No","resting",parents house,,,,,,
2014-02-16T18:11:18Z,"February 16, 2014 10:11:18am",37.57586786061299,-122.0151343849693,Partly Cloudy,0,-56.19775,16,,"No","getting ready",parents house,,,,,,
2014-02-16T22:18:10Z,"February 16, 2014 02:18:10pm",37.57189404222888,-122.0790334047024,Clear,4,-12.29301,6999,,"No","family party",relatives house,,"know your roots",,,,
2014-02-17T01:30:19Z,"February 16, 2014 05:30:19pm",37.39514843924743,-121.9906930955725,Clear,1,-56.17756,2622,,"No","resting",The Arches Apartments,,"thinking abstractly beyond the literal idiom",,,,
2014-02-17T05:21:02Z,"February 16, 2014 09:21:02pm",37.39248669709767,-121.9921298326198,Clear,0,-37.61872,1074,,"No","resting",The Arches Apartments,,"patiently encouraging others with empathy",,,,
2014-02-17T06:41:36Z,"February 16, 2014 10:41:36pm",37.393054445309,-121.9927213435266,Clear,0,-39.55659,425,1,"No","coding for fun",The Arches Apartments,,"task optimization philosophy comparison ",,,,
2014-02-17T17:06:26Z,"February 17, 2014 09:06:26am",37.39237911265609,-121.9921552412508,Clear,0,-57.01183,51,0,"No","getting ready",The Arches Apartments,,,"Not really","bed,laptop","indifferent,tired",
2014-02-17T20:20:52Z,"February 17, 2014 12:20:52pm",37.38194901033992,-121.9775924273971,Mostly Cloudy,3,-35.04552,663,1,"Yes","designing",Specialty's Cafe & Bakery,,"simple treatments for UI design","Not really","cafe,tables,coffee,laptop","focused",
2014-02-18T03:09:04Z,"February 17, 2014 07:09:04pm",37.39221055529769,-121.9920786191914,Clear,3,-35.8476,916,1,"No","reflecting",The Arches Apartments,,,"Deeply","shower,bathroom","contemplative",
2014-02-18T06:16:35Z,"February 17, 2014 10:16:35pm",37.39285772204156,-121.9919411559794,Clear,0,-61.38706,22,1,"No","reflecting",The Arches Apartments,,"curiosity drives learning and pattern generation - how does this lead to abstraction? abstraction fails generally when?","Somewhat","mirror,bathroom,laptop,tv","contemplative",
2014-02-18T06:46:31Z,"February 17, 2014 10:46:31pm",37.39266686610635,-121.9918995817397,Clear,0,-63.37313,0,1,"No","reflecting,emailing",The Arches Apartments,,"brain dumps of depth to abstractions breadth? what selectivity is needed for a brain to learn and make proper abstractions","Not really","bed,laptop","contemplative",
2014-02-18T16:21:52Z,"February 18, 2014 08:21:52am",37.39245807289834,-121.9922939502839,Clear,0,-92.52576,0,0,"No","getting ready",The Arches Apartments,,,"Not really","bed,laptop","tired,anxious",
2014-02-18T17:04:51Z,"February 18, 2014 09:04:51am",37.39253317475076,-121.992151625568,Clear,0,-61.81747,16,0,"No","getting ready",The Arches Apartments,,"the art of typography is like knowing a meta language","Not really","bathroom,mirror","contemplative","Hip Hop,Pop "
2014-02-18T21:01:29Z,"February 18, 2014 01:01:29pm",37.41588922220973,-122.0245003235732,Clear,2,-32.34481,4366,1,"No","eating",work,"Selina Chang","learn how to stop prematurely asking 'how will this work' ","Not really","cafe","contemplative","Hip Hop"
2014-02-18T21:53:21Z,"February 18, 2014 01:53:21pm",37.41962976669299,-122.0271992605204,Clear,0,-47.38201,921,1,"Yes","designing",work,"Vasudhara Kantroo,Nok Hoontrakool",,"Not really","monitor","contemplative","Hip Hop"
2014-02-19T01:55:22Z,"February 18, 2014 05:55:22pm",37.49001089486991,-121.9448993169907,Mostly Cloudy,1,-33.17651,2261,1,"No",,work,,,"No","traffic","contemplative,sad","Pop "
2014-02-19T07:14:52Z,"February 18, 2014 11:14:52pm",37.39240681756045,-121.9922967163119,Clear,1,-41.55354,986,1,"No","resting",The Arches Apartments,,"different modular and responsive d3 solutions","Not really","bed,laptop","indifferent","R&B,Hip Hop,Pop "
2014-02-19T16:26:38Z,"February 19, 2014 08:26:38am",37.39265982530768,-121.9921713230405,Clear,0,-94.77287,79,0,"No","getting ready",The Arches Apartments,,,"Not really","bed,laptop","tired",
2014-02-19T22:35:09Z,"February 19, 2014 02:35:09pm",37.41962943999999,-122.027199,Clear,1,-55.52686,5860,1,"Yes","meeting",work,"Michelle Oviedo","monetization for native exp","Not really","library,laptop","focused","Hip Hop,Pop "
2014-02-20T05:33:38Z,"February 19, 2014 09:33:38pm",37.39499017609447,-121.9954350518517,Clear,1,-54.61802,3476,2,"No","hanging out",Julie's home,"Julie Choi","technology, reflection, meaning, life transitions","Very deeply","dinner table,food","contemplative,spiritual",
2014-02-20T05:48:17Z,"February 19, 2014 09:48:17pm",37.39234127107765,-121.9918436744455,Clear,0,-48.89348,0,2,"Yes","coding",The Arches Apartments,,,"Somewhat","laptop,couch",,"R&B,Hip Hop"
2014-02-20T16:54:55Z,"February 20, 2014 08:54:55am",37.39236369266863,-121.9922522084061,Clear,0,-65.48481,61,,"No","reflecting",The Arches Apartments,,"trust in God only. enabling Him to be the only Way clarifies my path","Deeply","bed","contemplative,anxious",
2014-02-20T19:11:04Z,"February 20, 2014 11:11:04am",37.41962943999999,-122.027199,Clear,0,-31.07234,1772,,"Yes","meeting",work,"Francis Phan",,"Somewhat","meeting rooms","contemplative,anxious",
2014-02-20T21:38:01Z,"February 20, 2014 01:38:01pm",37.41962532312716,-122.0271951772317,Clear,2,-27.54989,3456,,"No",,work,"Michelle Oviedo",,"Not really","desks","anxious",
2014-02-21T03:59:49Z,"February 20, 2014 07:59:49pm",37.54999175205599,-121.9859905076418,Scattered Clouds,1,-44.37909,3287,,"No","hanging out",,"Bernadette Valdellon",,"Not really","store","tired","Rap"
2014-02-21T07:59:03Z,"February 20, 2014 11:59:03pm",37.39264469597246,-121.9919652958605,Clear,3,-45.64732,901,,"No","playing threes",The Arches Apartments,,"threes is addicting ","Not really","bed,game","focused,obsessed",
2014-02-21T17:49:03Z,"February 21, 2014 09:49:03am",37.41961387676991,-122.0271821825836,Clear,0,-40.36865,838,,"No",,work,,,"Not really","tables,studio","tired","Hip Hop"
2014-02-21T22:19:44Z,"February 21, 2014 02:19:44pm",37.41962943999999,-122.027199,Clear,3,-35.77859,5232,,"Yes","coding",work,,"always wrap up a chapter with goals for the next. leave all baggage behind.","Not really","tables,studio","tired","Hip Hop"
2014-02-21T23:25:11Z,"February 21, 2014 03:25:11pm",37.41962943999999,-122.027199,Clear,4,-44.97697,487,,"No","playing threes",work,"Vasudhara Kantroo","new patterns to play threes ","Not really","couch","amused",
2014-02-22T01:58:19Z,"February 21, 2014 05:58:19pm",37.39445936461345,-121.9926760504595,Clear,4,-17.59243,1641,,"No","reflecting",The Arches Apartments,,"Crowder - I am. what does it mean to cling onto God in the middle of a storm?","Somewhat","laptop","contemplative,anxious","Christian"
2014-02-22T05:15:44Z,"February 21, 2014 09:15:44pm",37.27727844383314,-121.9335796405766,Clear,1,-58.28091,474,,"No","reflecting",Margie's place,"Margie Fennell","God encourages us to act to a high standard under authority","Very deeply",,"contemplative,spiritual",
2014-02-22T07:01:40Z,"February 21, 2014 11:01:40pm",37.39507902880729,-121.9907393650294,Clear,0,-120,670,,"No","reflecting,talking on phone",The Arches Apartments,"Steven Eberling","data and QS is blunt and exposes junk","Not really","phone","contemplative",
